Timestamp,Comment,IsVisitorAccessAllowed,Plate,ResidentFoundCount,VisitorFoundCount,,TagImage
2021-09-20T15:52:40.857Z,,FALSE,IUHC86,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155240051_IUHC86.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155240051_IUHC86.jpeg
2021-09-20T15:52:48.902Z,Master LPR,FALSE,KRPEDM,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155248729_KRPEDM.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155248729_KRPEDM.jpeg
2021-09-20T15:52:49.178Z,Common LPR,FALSE,KRPDM,0,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155248953_KRPDM.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155248953_KRPDM.jpeg
2021-09-20T15:52:49.919Z,Common LPR,FALSE,KRPLDM,0,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155249793_KRPLDM.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155249793_KRPLDM.jpeg
2021-09-20T15:53:12.427Z,,FALSE,PCUG53,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155312077_PCUG53.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155312077_PCUG53.jpeg
2021-09-20T15:54:04.073Z,,FALSE,QERX39,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155403491_QERX39.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155403491_QERX39.jpeg
2021-09-20T15:54:08.014Z,Master LPR,FALSE,JPHL30,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155407795_JPHL30.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155407795_JPHL30.jpeg
2021-09-20T15:54:10.172Z,Common LPR,FALSE,PHL30,0,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155409322_PHL30.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155409322_PHL30.jpeg
2021-09-20T15:58:46.247Z,,TRUE,L3CRC,0,1,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155845850_L3CRC.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155845850_L3CRC.jpeg
2021-09-20T15:59:44.347Z,Master LPR,FALSE,X18NB,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155944324_X18NB.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155944324_X18NB.jpeg
2021-09-20T15:59:46.237Z,Common LPR,FALSE,X1BNB,0,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155945547_X1BNB.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155945547_X1BNB.jpeg
2021-09-20T16:01:42.247Z,,FALSE,DKLQ17,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160141841_DKLQ17.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160141841_DKLQ17.jpeg
2021-09-20T16:02:10.293Z,,FALSE,JIME49,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160209709_JIME49.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160209709_JIME49.jpeg
2021-09-20T16:06:08.319Z,,TRUE,L3CRC,0,1,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160607760_L3CRC.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160607760_L3CRC.jpeg
2021-09-20T16:06:20.129Z,,FALSE,IV89KU,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160620071_IV89KU.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160620071_IV89KU.jpeg
